frame_index,time_sec,class_id,class_name,confidence,xmin,ymin,xmax,ymax,preprocess_ms,inference_ms,postprocess_ms,end_to_end_fps
1,0.027,1,mouse,0.941047,154.78,230.39,472.05,394.80,3.869,25.798,4.443,21.813
2,0.089,1,mouse,0.959970,157.07,231.94,474.92,394.84,3.892,25.490,3.248,21.305
3,0.148,1,mouse,0.907965,155.39,229.20,474.86,415.02,2.972,35.528,9.073,20.873
4,0.189,1,mouse,0.934135,157.68,227.51,474.95,391.13,2.194,24.718,2.976,21.205
5,0.226,1,mouse,0.956393,156.07,227.48,475.93,408.57,2.162,21.162,2.880,21.819
6,0.283,1,mouse,0.890312,162.22,231.51,480.08,388.18,2.387,21.724,3.114,21.369
7,0.324,1,mouse,0.906859,161.25,231.43,479.98,404.43,2.518,25.562,3.049,21.653
8,0.387,1,mouse,0.873026,163.11,230.25,481.30,398.51,2.510,25.525,3.223,21.086
9,0.428,1,mouse,0.920398,161.93,228.13,478.84,386.90,2.615,25.542,3.044,21.380
10,0.488,1,mouse,0.930720,160.47,227.67,478.24,388.04,2.518,25.536,3.416,20.952
11,0.529,1,mouse,0.927083,161.50,227.65,479.33,391.84,2.602,25.541,2.968,21.243
12,0.588,1,mouse,0.923528,162.07,226.59,479.60,417.60,2.772,25.546,3.174,20.833
13,0.628,1,mouse,0.890960,166.71,231.40,482.45,390.67,2.539,25.565,2.946,21.173
14,0.689,1,mouse,0.852607,166.57,232.72,482.20,393.22,2.966,25.869,3.441,20.722
15,0.730,1,mouse,0.814726,176.25,230.84,487.83,391.72,2.564,25.523,3.263,21.058
16,0.787,1,mouse,0.982608,187.04,239.54,499.67,399.12,2.701,25.502,3.215,20.704
17,0.829,1,mouse,0.972221,189.39,242.20,503.11,399.88,2.553,25.529,3.078,21.069
17,0.829,1,mouse,0.539034,511.05,0.00,640.00,108.59,2.553,25.529,3.078,21.069
18,0.888,1,mouse,0.957676,183.02,244.22,497.46,402.14,2.616,25.523,3.169,20.655
18,0.888,1,mouse,0.294843,507.06,0.00,640.00,108.90,2.616,25.523,3.169,20.655
19,0.929,1,mouse,0.932376,180.02,246.59,494.73,401.93,2.517,25.530,3.129,20.967
19,0.929,1,mouse,0.473620,504.29,0.00,640.00,106.93,2.517,25.530,3.129,20.967
20,0.988,1,mouse,0.923268,496.43,0.39,640.00,102.76,2.467,25.549,3.193,20.606
20,0.988,1,mouse,0.820076,173.26,250.91,486.14,404.22,2.467,25.549,3.193,20.606
21,1.029,1,mouse,0.933566,493.35,3.31,640.00,101.70,2.561,25.529,2.989,20.917
21,1.029,1,mouse,0.919225,169.06,253.57,481.93,404.30,2.561,25.529,2.989,20.917
22,1.088,1,mouse,0.965594,162.44,246.50,474.16,403.72,2.557,25.576,3.250,20.540
22,1.088,1,mouse,0.862586,485.63,0.39,639.82,97.80,2.557,25.576,3.250,20.540
23,1.129,1,mouse,0.958131,161.46,247.51,473.31,402.31,2.544,25.529,3.152,20.883
23,1.129,1,mouse,0.904156,483.85,0.00,639.71,99.00,2.544,25.529,3.152,20.883
24,1.188,1,mouse,0.964759,161.35,242.31,474.48,397.35,2.699,25.526,3.201,20.512
24,1.188,1,mouse,0.910692,482.76,0.00,639.67,92.58,2.699,25.526,3.201,20.512
25,1.229,1,mouse,0.970296,159.81,239.29,472.29,394.33,2.549,25.527,3.119,20.848
25,1.229,1,mouse,0.924692,484.30,0.00,639.85,89.08,2.549,25.527,3.119,20.848
26,1.288,1,mouse,0.907249,159.79,236.68,474.28,395.90,2.517,25.810,3.166,20.492
27,1.329,1,mouse,0.895170,155.74,233.82,470.88,393.97,2.608,25.919,3.198,20.785
28,1.388,1,mouse,0.890118,156.78,232.04,472.13,397.79,2.665,25.516,3.228,20.452
29,1.429,1,mouse,0.960583,158.46,227.53,473.47,386.99,2.601,25.516,2.908,20.797
30,1.487,1,mouse,0.925853,155.31,223.15,472.84,377.34,2.504,25.544,3.307,20.442
31,1.528,1,mouse,0.929442,155.54,221.22,476.74,372.01,2.551,25.565,3.498,20.776
32,1.593,1,mouse,0.895310,149.81,210.67,463.73,370.33,2.747,26.617,7.746,20.259
33,1.635,1,mouse,0.893655,138.41,204.82,451.89,363.83,2.110,27.491,3.103,20.543
33,1.635,2,keyboard,0.474700,0.00,0.00,635.82,264.52,2.110,27.491,3.103,20.543
34,1.688,1,mouse,0.944685,127.61,194.45,445.28,355.66,2.569,25.517,3.187,20.458
35,1.729,1,mouse,0.962340,129.78,188.89,449.18,380.39,2.584,25.533,3.098,20.786
36,1.788,1,mouse,0.828013,110.29,181.27,427.51,347.04,2.729,25.520,3.372,20.420
36,1.788,2,keyboard,0.295365,0.00,0.00,638.39,244.74,2.729,25.520,3.372,20.420
37,1.830,1,mouse,0.890781,113.89,181.85,430.75,340.28,2.512,25.556,3.074,20.762
38,1.891,1,mouse,0.886144,110.89,178.75,422.59,338.68,2.808,25.543,3.147,20.295
38,1.891,2,keyboard,0.392494,0.00,0.00,638.39,235.97,2.808,25.543,3.147,20.295
39,1.956,1,mouse,0.912081,96.53,172.21,415.89,352.47,2.562,25.690,3.445,19.834
40,1.998,1,mouse,0.928157,90.79,168.89,413.28,339.81,2.608,25.517,3.199,20.213
41,2.056,1,mouse,0.925159,86.08,162.42,416.29,358.23,2.711,25.523,3.160,19.926
41,2.056,1,mouse,0.354848,397.21,0.00,639.11,473.65,2.711,25.523,3.160,19.926
42,2.096,1,mouse,0.912567,79.95,158.29,402.97,336.81,2.591,25.517,2.989,20.344
43,2.155,1,mouse,0.952092,59.72,147.78,398.08,369.72,2.816,25.574,3.207,20.019
44,2.195,1,mouse,0.932263,48.53,145.58,398.45,345.41,2.600,25.501,2.899,20.459
