scene_id,object_id,expected_class,correct,confidence,bbox
S01,B01,bottle,1,0.9322725534439087,"[177.38482666015625, 194.9434814453125, 268.5630798339844, 480.0]"
S02,M01,mouse,1,0.9753564596176147,"[372.5531005859375, 267.439208984375, 521.68408203125, 373.1468505859375]"
S03,K01,keyboard,1,0.9275565147399902,"[3.822998046875, 0.0, 640.0, 476.20672607421875]"
S04,B02,bottle,0,,
S04,M02,mouse,1,0.9538822174072266,"[91.010009765625, 374.47515869140625, 262.1117248535156, 477.41754150390625]"
S05,B03,bottle,1,0.6085395216941833,"[421.435546875, 118.98345947265625, 565.11376953125, 428.15789794921875]"
S05,K02,keyboard,1,0.6189754605293274,"[98.16583251953125, 236.6163330078125, 408.35736083984375, 474.71636962890625]"
S06,B04,bottle,1,0.42015331983566284,"[439.6318359375, 16.542816162109375, 609.4713134765625, 402.1722717285156]"
S06,K03,keyboard,0,,
S07,M03,mouse,1,0.5512831211090088,"[9.396392822265625, 317.4361572265625, 327.61944580078125, 473.20574951171875]"
S07,K04,keyboard,1,0.9574814438819885,"[0.0, 102.0672607421875, 614.2042236328125, 382.67498779296875]"
S08,B05,bottle,1,0.7895642518997192,"[298.19451904296875, 151.4261474609375, 416.73321533203125, 407.99896240234375]"
S08,M04,mouse,1,0.9325713515281677,"[438.175048828125, 284.8518981933594, 577.5046997070312, 390.7160339355469]"
S08,K05,keyboard,1,0.8059589266777039,"[22.89892578125, 383.7950439453125, 601.1256103515625, 479.5716552734375]"
S09,B06,bottle,1,0.9665898680686951,"[177.58914184570312, 34.377227783203125, 290.0403137207031, 316.7975158691406]"
S09,M05,mouse,1,0.9801535606384277,"[373.49908447265625, 234.9344482421875, 535.9798583984375, 321.863037109375]"
S09,K06,keyboard,1,0.8942112326622009,"[92.10693359375, 329.87579345703125, 640.0, 479.94720458984375]"
S10,B07,bottle,0,,
S10,M06,mouse,1,0.41247260570526123,"[533.2706298828125, 0.49590301513671875, 639.4058837890625, 116.8262939453125]"
S10,K07,keyboard,1,0.482474148273468,"[1.992279052734375, 27.786422729492188, 474.490234375, 426.72137451171875]"
