epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70397,0.85623,5.01038,1.16711,0,0,0,0,0.76279,5.10095,1.04031,0.000285714,0.000285714,0.0717143
2,2.93298,0.95685,4.25193,1.23261,0.08333,0.01389,0.015,0.006,1.13508,5.00723,1.51717,0.000612919,0.000612919,0.0387082
3,3.79396,1.11064,3.43296,1.32896,0.50564,0.08333,0.1398,0.0623,1.43063,4.45674,1.7877,0.000933524,0.000933524,0.00569543
4,4.60631,1.11326,2.46286,1.33707,0.48318,0.4127,0.32197,0.17905,1.70369,3.6375,2.20979,0.0009703,0.0009703,0.0009703
5,5.44885,1.09958,2.14234,1.32128,0.35466,0.39683,0.34058,0.20048,1.57205,4.30678,1.88647,0.0009604,0.0009604,0.0009604
6,6.29181,1.19195,2.01793,1.422,0.21145,0.44345,0.29143,0.18212,1.3574,7.1817,1.58493,0.0009505,0.0009505,0.0009505
7,7.10787,1.05217,1.83931,1.33493,0.45722,0.52282,0.41455,0.23484,1.39092,5.81913,1.58526,0.0009406,0.0009406,0.0009406
8,7.93747,1.08093,1.58735,1.31809,0.42537,0.49422,0.40911,0.27539,1.53374,3.29321,1.72019,0.0009307,0.0009307,0.0009307
9,8.78525,1.04535,1.51437,1.30432,0.42422,0.35771,0.368,0.2508,1.61897,3.19887,1.7083,0.0009208,0.0009208,0.0009208
10,9.74295,0.99448,1.38762,1.25454,0.37686,0.31574,0.35304,0.22046,1.55735,3.49455,1.62743,0.0009109,0.0009109,0.0009109
11,10.5382,0.96336,1.25461,1.23797,0.3057,0.3244,0.27675,0.163,1.49513,3.73723,1.64824,0.000901,0.000901,0.000901
12,11.3895,0.91499,1.23285,1.23572,0.44861,0.55378,0.4643,0.29219,1.26349,3.07385,1.43149,0.0008911,0.0008911,0.0008911
13,12.2096,0.94176,1.23053,1.2528,0.41547,0.64484,0.47121,0.28942,1.23625,2.94876,1.44522,0.0008812,0.0008812,0.0008812
14,13.0253,0.94913,1.21799,1.24542,0.50127,0.6131,0.54434,0.31507,1.21908,3.22851,1.42282,0.0008713,0.0008713,0.0008713
15,13.8001,0.86717,1.07339,1.17734,0.45819,0.63711,0.56082,0.33663,1.21559,3.19156,1.40442,0.0008614,0.0008614,0.0008614
16,14.8043,0.92011,1.17757,1.19058,0.49881,0.61124,0.54653,0.32951,1.25553,3.15886,1.45563,0.0008515,0.0008515,0.0008515
17,15.6109,0.91831,1.13621,1.18093,0.48238,0.6594,0.56703,0.32635,1.31851,3.03347,1.4982,0.0008416,0.0008416,0.0008416
18,16.3299,0.89066,1.09549,1.18622,0.52776,0.59038,0.52629,0.29158,1.3773,2.6666,1.53348,0.0008317,0.0008317,0.0008317
19,17.137,0.88144,1.0459,1.16305,0.72112,0.47222,0.57475,0.35562,1.32877,2.25087,1.51056,0.0008218,0.0008218,0.0008218
