epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2766,0.87075,4.93938,1.20372,0,0,0,0,0.5609,4.98993,0.91999,0.000166667,0.000166667,0.0835
2,12.7319,0.83016,4.91876,1.17086,0,0,0,0,0.55829,4.98952,0.92199,0.00049505,0.00049505,0.050495
3,13.3049,0.86282,4.92452,1.16917,0,0,0,0,1.17694,4.96767,1.29152,0.000816833,0.000816833,0.0174835
4,13.9927,1.31671,4.52303,1.45015,0,0,0,0,1.37666,5.01218,1.4476,0.0009703,0.0009703,0.0009703
5,14.586,1.30152,4.09717,1.43695,0,0,0,0,1.34727,4.96946,1.52324,0.0009604,0.0009604,0.0009604
6,15.1965,1.2814,3.68108,1.51063,0,0,0,0,1.37133,4.96705,1.71704,0.0009505,0.0009505,0.0009505
7,15.7838,1.24739,3.05317,1.50609,0,0,0,0,1.53948,4.97869,2.00607,0.0009406,0.0009406,0.0009406
8,16.4015,1.27892,2.74015,1.57532,0.13889,0.06944,0.04967,0.02478,1.61869,4.89335,2.17614,0.0009307,0.0009307,0.0009307
9,16.971,1.27849,2.27697,1.57816,0.08333,0.06944,0.04302,0.01894,1.5002,4.85,2.31292,0.0009208,0.0009208,0.0009208
10,17.5908,1.28873,1.98127,1.61025,0.08046,0.09722,0.05621,0.01691,1.68756,4.8116,2.6412,0.0009109,0.0009109,0.0009109
11,18.2013,1.20433,1.70136,1.54184,0.59259,0.21726,0.13496,0.05938,1.58902,4.70104,2.45991,0.000901,0.000901,0.000901
12,18.806,1.22754,1.64968,1.50417,0.26596,0.34524,0.23753,0.13006,1.53319,4.38521,2.44613,0.0008911,0.0008911,0.0008911
13,19.4017,1.06361,1.44713,1.37002,0.1235,0.35913,0.2431,0.14205,1.55888,4.27315,2.38913,0.0008812,0.0008812,0.0008812
14,20.0116,1.08306,1.42183,1.41089,0.4933,0.23909,0.28476,0.14909,1.52193,4.08757,2.22045,0.0008713,0.0008713,0.0008713
15,20.6859,1.10336,1.45018,1.39957,0.57329,0.15377,0.28701,0.16756,1.55638,3.85428,2.38445,0.0008614,0.0008614,0.0008614
16,21.3072,1.09057,1.37556,1.3788,0.61697,0.28061,0.2993,0.16252,1.61457,3.47803,2.6809,0.0008515,0.0008515,0.0008515
17,21.9065,1.04288,1.22456,1.35652,0.59966,0.23128,0.25848,0.16076,1.45267,3.48495,2.18865,0.0008416,0.0008416,0.0008416
18,22.5138,1.00938,1.2586,1.35196,0.62109,0.21524,0.23624,0.15419,1.43273,3.66073,2.00574,0.0008317,0.0008317,0.0008317
19,23.1126,0.94177,1.17041,1.27103,0.79508,0.16468,0.21984,0.13815,1.48124,3.9007,1.96482,0.0008218,0.0008218,0.0008218
20,23.7051,0.97332,1.2015,1.28532,0.54205,0.19246,0.17616,0.11594,1.54407,3.94305,2.04836,0.0008119,0.0008119,0.0008119
21,24.3061,0.87682,1.05451,1.20141,0.78266,0.13294,0.18157,0.11439,1.56982,3.80293,1.99796,0.000802,0.000802,0.000802
22,25.0168,0.86854,1.04175,1.22235,0.50272,0.30746,0.22375,0.1249,1.58236,3.76737,1.93498,0.0007921,0.0007921,0.0007921
23,25.6096,0.91861,1.12162,1.22019,0.46444,0.18849,0.19609,0.11749,1.53027,3.69322,1.90003,0.0007822,0.0007822,0.0007822
24,26.2221,0.88783,1.00881,1.22163,0.36961,0.16369,0.17682,0.1171,1.46141,3.74898,1.81825,0.0007723,0.0007723,0.0007723
25,26.8717,0.92186,1.04825,1.20246,0.43668,0.19192,0.18175,0.11549,1.49651,3.84536,1.83927,0.0007624,0.0007624,0.0007624
26,27.517,0.85811,0.98677,1.22013,0.52156,0.2679,0.25723,0.14436,1.4968,3.62985,1.81551,0.0007525,0.0007525,0.0007525
27,28.1611,0.83299,1.02625,1.17012,0.70023,0.25433,0.33196,0.20555,1.47999,3.3889,1.8203,0.0007426,0.0007426,0.0007426
28,28.7945,0.84155,0.96752,1.1686,0.62824,0.33532,0.39327,0.25041,1.46496,3.1387,1.7584,0.0007327,0.0007327,0.0007327
29,29.3986,0.8501,0.94774,1.16646,0.60325,0.33532,0.40336,0.27988,1.40886,3.12614,1.65943,0.0007228,0.0007228,0.0007228
30,30.0244,0.85866,0.96228,1.18866,0.60819,0.30924,0.3924,0.27527,1.47252,3.1416,1.6982,0.0007129,0.0007129,0.0007129
31,30.6312,0.80794,0.9076,1.17246,0.57546,0.28671,0.35126,0.24161,1.47529,3.11582,1.75803,0.000703,0.000703,0.000703
32,31.2696,0.82398,0.90826,1.15311,0.57338,0.29656,0.36975,0.24408,1.44611,3.23238,1.81097,0.0006931,0.0006931,0.0006931
33,31.9064,0.7899,0.84793,1.12539,0.67645,0.33135,0.37995,0.2561,1.35861,3.30866,1.72044,0.0006832,0.0006832,0.0006832
34,32.5139,0.80429,0.85937,1.13936,0.72022,0.2996,0.41423,0.285,1.28909,3.23594,1.67227,0.0006733,0.0006733,0.0006733
35,33.1198,0.80349,0.89226,1.14857,0.78501,0.30331,0.43403,0.29269,1.29913,3.34646,1.72311,0.0006634,0.0006634,0.0006634
36,33.7863,0.80671,0.93692,1.13457,0.72643,0.30853,0.36076,0.25104,1.28759,3.46091,1.69434,0.0006535,0.0006535,0.0006535
