epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.92772,1.06266,4.16244,1.26481,0.36512,0.26066,0.11516,0.05858,1.45231,4.23775,1.46438,0.000316667,0.000316667,0.06865
2,4.86432,1.15298,2.0488,1.29583,0.36819,0.37275,0.39229,0.25832,1.24753,2.79007,1.35743,0.000643565,0.000643565,0.0356436
3,7.11947,1.16337,1.77892,1.25341,0.45672,0.41148,0.44646,0.29702,1.21874,2.39592,1.34619,0.000963863,0.000963863,0.00263053
4,9.2205,1.14807,1.59742,1.26519,0.58116,0.39884,0.47345,0.30508,1.25682,2.13419,1.34082,0.0009703,0.0009703,0.0009703
5,11.3114,1.109,1.55444,1.2301,0.57561,0.53965,0.52485,0.32846,1.23897,1.88868,1.3144,0.0009604,0.0009604,0.0009604
6,13.4584,1.07694,1.3911,1.22938,0.52149,0.54417,0.53697,0.36236,1.22964,2.06017,1.30285,0.0009505,0.0009505,0.0009505
7,14.8962,1.09625,1.43048,1.22459,0.63666,0.51378,0.59516,0.39188,1.17125,1.76057,1.283,0.0009406,0.0009406,0.0009406
8,16.9757,1.05963,1.36087,1.23144,0.66297,0.55965,0.65523,0.4363,1.14757,1.87376,1.25807,0.0009307,0.0009307,0.0009307
9,19.046,1.07067,1.32646,1.22062,0.72648,0.53066,0.62508,0.39962,1.19834,1.78324,1.29963,0.0009208,0.0009208,0.0009208
10,21.1526,1.00464,1.28015,1.17603,0.71655,0.5389,0.61622,0.38666,1.26512,1.81937,1.31779,0.0009109,0.0009109,0.0009109
11,23.2649,1.02678,1.23193,1.17142,0.57584,0.55637,0.5438,0.35159,1.23836,1.84112,1.27178,0.000901,0.000901,0.000901
12,25.3671,1.00989,1.19938,1.16347,0.50112,0.57737,0.51532,0.31735,1.20366,1.91921,1.25762,0.0008911,0.0008911,0.0008911
