epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7903,1.0926,4.12655,1.32071,0,0,0,0,2.21202,4.73795,2.38795,0.000316667,0.000316667,0.06865
2,18.7214,1.252,2.52962,1.45034,0.79969,0.21605,0.27703,0.14696,1.3367,3.77115,1.61437,0.000643565,0.000643565,0.0356436
3,21.1023,1.25212,1.92674,1.42375,0.83731,0.19139,0.34623,0.21453,1.19819,3.27338,1.39943,0.000963863,0.000963863,0.00263053
4,23.5542,1.23161,1.83559,1.4018,0.43652,0.37586,0.384,0.22448,1.30857,2.84297,1.50104,0.0009703,0.0009703,0.0009703
5,25.9296,1.20695,1.73685,1.36254,0.47404,0.3957,0.40493,0.25641,1.39715,2.56382,1.47274,0.0009604,0.0009604,0.0009604
6,28.2946,1.16513,1.50789,1.3492,0.54585,0.47875,0.53272,0.34112,1.36593,2.17452,1.43572,0.0009505,0.0009505,0.0009505
7,30.7543,1.19055,1.58839,1.32561,0.57938,0.58239,0.59651,0.38138,1.27132,1.92893,1.35972,0.0009406,0.0009406,0.0009406
8,33.2819,1.13128,1.48229,1.3059,0.53319,0.46109,0.5131,0.31996,1.33148,2.32987,1.44529,0.0009307,0.0009307,0.0009307
9,35.5665,1.16285,1.43626,1.28553,0.5816,0.54947,0.56491,0.36865,1.16513,2.19005,1.29648,0.0009208,0.0009208,0.0009208
10,37.8599,1.11383,1.38458,1.26553,0.63863,0.53251,0.5632,0.36849,1.29007,1.89606,1.40593,0.0009109,0.0009109,0.0009109
11,40.3065,1.11308,1.35444,1.26221,0.60951,0.63945,0.65143,0.42877,1.21941,1.91889,1.34051,0.000901,0.000901,0.000901
12,42.2109,1.09844,1.29449,1.24711,0.68058,0.57406,0.63073,0.43539,1.18344,1.72705,1.29658,0.0008911,0.0008911,0.0008911
13,44.6225,1.05841,1.25588,1.24591,0.73043,0.56513,0.68622,0.48074,1.14372,1.64425,1.22432,0.0008812,0.0008812,0.0008812
14,46.9918,1.08103,1.29247,1.26194,0.64967,0.72733,0.71529,0.47865,1.17755,1.55537,1.26811,0.0008713,0.0008713,0.0008713
15,49.3854,1.07334,1.26875,1.23834,0.73181,0.62235,0.68371,0.46472,1.17936,1.6634,1.28317,0.0008614,0.0008614,0.0008614
16,51.8523,1.05939,1.23047,1.2383,0.637,0.66667,0.69178,0.47591,1.17555,1.50226,1.29285,0.0008515,0.0008515,0.0008515
17,54.3527,1.00446,1.1436,1.2117,0.73017,0.70251,0.71406,0.50581,1.07489,1.5002,1.21515,0.0008416,0.0008416,0.0008416
18,56.8154,0.97535,1.17003,1.19186,0.72671,0.66916,0.71225,0.4824,1.15263,1.55994,1.30766,0.0008317,0.0008317,0.0008317
19,59.2833,1.00584,1.12122,1.18409,0.78422,0.54276,0.67463,0.47308,1.15095,1.67687,1.27315,0.0008218,0.0008218,0.0008218
20,61.6935,0.99594,1.14596,1.18948,0.72193,0.62643,0.69912,0.49456,1.11074,1.52207,1.23785,0.0008119,0.0008119,0.0008119
21,64.0232,0.9694,1.08571,1.1543,0.70061,0.61369,0.66188,0.43792,1.21526,1.70066,1.35325,0.000802,0.000802,0.000802
22,66.4092,0.95012,1.06829,1.14654,0.67097,0.67151,0.72092,0.4965,1.16082,1.47843,1.2891,0.0007921,0.0007921,0.0007921
23,68.7064,0.94183,1.03314,1.15656,0.6975,0.69487,0.71085,0.46672,1.14929,1.55171,1.29421,0.0007822,0.0007822,0.0007822
24,71.0833,0.9655,1.02899,1.16383,0.79112,0.62413,0.69378,0.47341,1.17812,1.49061,1.31391,0.0007723,0.0007723,0.0007723
25,73.5792,0.94486,0.98985,1.14243,0.75142,0.67609,0.73141,0.50449,1.16646,1.34935,1.29364,0.0007624,0.0007624,0.0007624
26,75.988,0.89467,0.95096,1.11628,0.71594,0.74504,0.75228,0.52161,1.12956,1.33298,1.23853,0.0007525,0.0007525,0.0007525
27,78.4271,0.90374,0.98582,1.11912,0.7064,0.66007,0.70061,0.48654,1.12927,1.41356,1.23822,0.0007426,0.0007426,0.0007426
28,80.6634,0.90132,0.98076,1.11391,0.60685,0.61392,0.62275,0.42779,1.17946,1.68416,1.29279,0.0007327,0.0007327,0.0007327
