epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6794,0.8414,0.94821,1.15159,0.73038,0.69844,0.69499,0.49052,1.12309,1.44416,1.25357,0.000458691,0.000458691,0.000458691
2,20.6353,0.87758,0.95386,1.14966,0.73566,0.65581,0.72049,0.50398,1.0837,1.34356,1.19756,0.000911883,0.000911883,0.000911883
3,23.2896,0.97342,1.07573,1.18873,0.79459,0.60317,0.65798,0.45407,1.13691,1.52181,1.29672,0.0013415,0.0013415,0.0013415
4,26.3208,1.0195,1.09796,1.23785,0.65854,0.59714,0.63212,0.42827,1.22359,1.54481,1.31437,0.0013229,0.0013229,0.0013229
5,29.4489,0.98921,1.07801,1.20219,0.80651,0.53521,0.62519,0.40485,1.30973,1.63435,1.4145,0.00128753,0.00128753,0.00128753
6,32.4576,0.99698,1.07646,1.21916,0.61869,0.73931,0.69296,0.4609,1.16599,1.45743,1.29626,0.00125216,0.00125216,0.00125216
7,35.4028,0.98136,1.05233,1.20576,0.66515,0.67561,0.68277,0.44278,1.18462,1.94546,1.27522,0.00121679,0.00121679,0.00121679
8,38.4626,1.00138,1.06569,1.19962,0.70915,0.63274,0.68736,0.4521,1.36363,1.38434,1.38676,0.00118143,0.00118143,0.00118143
9,41.5782,0.99767,1.04525,1.21346,0.67439,0.61343,0.66393,0.43592,1.18027,1.38487,1.26209,0.00114606,0.00114606,0.00114606
10,44.6856,0.9193,0.96757,1.16199,0.75808,0.69893,0.73537,0.51152,1.16585,1.29214,1.29944,0.00111069,0.00111069,0.00111069
11,47.7093,0.94786,0.96222,1.17913,0.68104,0.64935,0.68718,0.4799,1.19514,1.2909,1.29028,0.00107532,0.00107532,0.00107532
12,50.6738,0.95565,0.9512,1.17357,0.68026,0.73641,0.74216,0.50531,1.13321,1.24733,1.23702,0.00103995,0.00103995,0.00103995
13,53.782,0.91474,0.93541,1.14914,0.78893,0.61338,0.69587,0.48637,1.10805,1.38759,1.24004,0.00100459,0.00100459,0.00100459
14,56.849,0.91812,0.9573,1.16837,0.77184,0.62535,0.71556,0.49014,1.21896,1.3797,1.28485,0.000969219,0.000969219,0.000969219
15,59.6911,0.88745,0.9247,1.13945,0.75326,0.66828,0.76007,0.53884,1.07874,1.16426,1.22533,0.000933851,0.000933851,0.000933851
16,62.8229,0.85064,0.88706,1.11606,0.82732,0.66625,0.75788,0.55933,1.00389,1.25078,1.13907,0.000898484,0.000898484,0.000898484
17,65.8816,0.90228,0.88201,1.14614,0.81578,0.66469,0.76713,0.55111,0.99694,1.16662,1.15756,0.000863116,0.000863116,0.000863116
18,68.7802,0.86118,0.859,1.13038,0.79207,0.73023,0.8008,0.5676,1.03797,1.0726,1.15397,0.000827748,0.000827748,0.000827748
19,71.8479,0.87035,0.82213,1.12581,0.83379,0.7371,0.82001,0.59538,1.03303,1.02529,1.17212,0.00079238,0.00079238,0.00079238
20,74.6792,0.85419,0.81136,1.12927,0.68014,0.7388,0.7227,0.49921,1.15115,1.21022,1.30031,0.000757013,0.000757013,0.000757013
21,77.7748,0.81911,0.8188,1.10933,0.76474,0.76291,0.78364,0.55784,1.11027,1.18807,1.27772,0.000721645,0.000721645,0.000721645
22,80.8828,0.82824,0.7797,1.09352,0.76297,0.66139,0.72413,0.52028,1.12235,1.26504,1.27287,0.000686277,0.000686277,0.000686277
23,83.5311,0.83056,0.80655,1.08842,0.81175,0.78458,0.79682,0.57837,1.05398,0.99861,1.21886,0.000650909,0.000650909,0.000650909
24,86.5638,0.81065,0.78707,1.085,0.74679,0.73387,0.79764,0.56345,1.05408,1.04058,1.22591,0.000615542,0.000615542,0.000615542
25,89.6373,0.79933,0.76338,1.08442,0.81066,0.73506,0.81335,0.58827,1.01591,1.06127,1.19193,0.000580174,0.000580174,0.000580174
26,92.6882,0.76979,0.7298,1.07009,0.8117,0.79151,0.82435,0.60066,0.9669,0.99187,1.17124,0.000544806,0.000544806,0.000544806
27,95.8299,0.75484,0.72438,1.0551,0.83204,0.7443,0.8123,0.5876,1.02109,1.0201,1.19165,0.000509438,0.000509438,0.000509438
28,98.8578,0.74138,0.68834,1.0545,0.81017,0.70173,0.82099,0.59667,1.00955,1.04303,1.18424,0.000474071,0.000474071,0.000474071
29,101.927,0.75077,0.67898,1.06473,0.722,0.81504,0.82756,0.62088,0.96662,0.99273,1.14694,0.000438703,0.000438703,0.000438703
30,105.064,0.734,0.67479,1.0508,0.80201,0.76236,0.83051,0.60958,0.97174,0.98878,1.14812,0.000403335,0.000403335,0.000403335
31,109.31,0.68682,0.63364,1.02741,0.80162,0.70384,0.78403,0.56591,1.05329,1.30313,1.17559,0.000367967,0.000367967,0.000367967
32,112.494,0.66743,0.60356,0.99971,0.79118,0.80366,0.81645,0.5933,0.96044,1.01731,1.13573,0.0003326,0.0003326,0.0003326
33,115.669,0.61807,0.54631,0.97965,0.79432,0.83474,0.82323,0.58343,0.9972,0.99643,1.14267,0.000297232,0.000297232,0.000297232
34,118.844,0.61576,0.53122,0.96885,0.75487,0.80899,0.83123,0.61968,0.91051,0.99047,1.10056,0.000261864,0.000261864,0.000261864
35,122.067,0.60017,0.51225,0.959,0.77428,0.82625,0.82719,0.62783,0.94475,0.94178,1.13542,0.000226497,0.000226497,0.000226497
36,125.232,0.5859,0.50791,0.96677,0.81523,0.80919,0.83359,0.62257,0.94802,0.93783,1.15883,0.000191129,0.000191129,0.000191129
37,128.623,0.58524,0.50384,0.96431,0.84183,0.77702,0.83578,0.62261,0.946,0.93549,1.17082,0.000155761,0.000155761,0.000155761
38,131.633,0.56371,0.48797,0.948,0.80623,0.76371,0.81443,0.60977,0.95571,0.95785,1.17475,0.000120393,0.000120393,0.000120393
39,134.661,0.54886,0.4813,0.94352,0.79165,0.78213,0.82434,0.61212,0.96543,0.96153,1.17717,8.50255e-05,8.50255e-05,8.50255e-05
40,137.713,0.54702,0.46554,0.95042,0.78034,0.80445,0.836,0.62765,0.93537,0.92555,1.14725,4.96578e-05,4.96578e-05,4.96578e-05
