epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3115,0.9307,1.13701,1.1668,0.71714,0.75209,0.76697,0.52734,1.06287,1.25545,1.19762,0.000459908,0.000459908,0.000459908
2,15.5546,0.9615,1.03275,1.16668,0.73062,0.68617,0.71342,0.49204,1.0896,1.34722,1.2079,0.000913069,0.000913069,0.000913069
3,18.6381,1.07018,1.18275,1.24364,0.62685,0.68653,0.68577,0.45814,1.17844,1.42689,1.27191,0.00134265,0.00134265,0.00134265
4,21.7454,1.0843,1.19898,1.24081,0.69628,0.59477,0.669,0.45472,1.15679,1.39735,1.2485,0.0013229,0.0013229,0.0013229
5,24.9294,1.10734,1.23422,1.27176,0.68989,0.43642,0.57673,0.35763,1.31596,1.93482,1.41865,0.00128753,0.00128753,0.00128753
6,28.0817,1.11709,1.24321,1.28987,0.66027,0.64317,0.65421,0.45269,1.17591,1.4912,1.32156,0.00125216,0.00125216,0.00125216
7,31.338,1.09084,1.20762,1.23855,0.6798,0.75161,0.75272,0.51682,1.10477,1.40931,1.24403,0.00121679,0.00121679,0.00121679
8,34.763,1.04222,1.14012,1.204,0.67585,0.57919,0.6323,0.43107,1.20097,1.58842,1.30455,0.00118143,0.00118143,0.00118143
9,38.1043,1.02239,1.13342,1.20766,0.7013,0.66187,0.71436,0.48775,1.1914,1.31186,1.30295,0.00114606,0.00114606,0.00114606
10,41.3538,1.0538,1.15085,1.23495,0.68174,0.65194,0.68035,0.45857,1.16483,1.35281,1.24085,0.00111069,0.00111069,0.00111069
11,44.5285,1.0093,1.03836,1.16891,0.77409,0.73785,0.77267,0.55073,1.08091,1.17978,1.1962,0.00107532,0.00107532,0.00107532
12,47.8678,0.98632,1.03882,1.18076,0.76883,0.69697,0.73734,0.5089,1.1124,1.2483,1.26063,0.00103995,0.00103995,0.00103995
13,51.1734,1.00187,1.01362,1.18015,0.76706,0.61718,0.7031,0.47988,1.11352,1.39922,1.2355,0.00100459,0.00100459,0.00100459
14,54.5307,0.96997,1.02401,1.17644,0.73216,0.64368,0.6845,0.46704,1.15374,1.5869,1.34798,0.000969219,0.000969219,0.000969219
15,57.7052,0.93678,0.95689,1.14647,0.80347,0.71448,0.78347,0.55744,1.04583,1.21693,1.20312,0.000933851,0.000933851,0.000933851
16,60.993,0.94938,0.97138,1.14639,0.79342,0.67671,0.74937,0.5025,1.15576,1.30863,1.28119,0.000898484,0.000898484,0.000898484
17,64.429,0.88798,0.90591,1.12958,0.7504,0.71084,0.75482,0.51588,1.15853,1.31505,1.23924,0.000863116,0.000863116,0.000863116
18,67.585,0.94119,0.97365,1.15856,0.84582,0.72211,0.78533,0.55033,1.08647,1.1726,1.23482,0.000827748,0.000827748,0.000827748
19,70.6628,0.92503,0.91055,1.1404,0.64075,0.79905,0.7413,0.5244,1.0671,1.18702,1.22263,0.00079238,0.00079238,0.00079238
20,73.7848,0.9033,0.89875,1.12587,0.73457,0.7507,0.76949,0.53896,1.12654,1.22969,1.25189,0.000757013,0.000757013,0.000757013
21,77.0619,0.89674,0.88121,1.11453,0.77945,0.73702,0.79496,0.5857,0.99488,1.17482,1.17631,0.000721645,0.000721645,0.000721645
22,80.2983,0.86594,0.84505,1.1182,0.70891,0.76365,0.77074,0.54422,1.09558,1.22404,1.25044,0.000686277,0.000686277,0.000686277
23,83.6234,0.89982,0.89208,1.11566,0.80357,0.66323,0.75033,0.52659,1.09549,1.27023,1.2454,0.000650909,0.000650909,0.000650909
24,86.7095,0.85341,0.804,1.08747,0.76492,0.75576,0.78379,0.56682,1.01836,1.09056,1.19198,0.000615542,0.000615542,0.000615542
25,89.8574,0.8554,0.81964,1.09025,0.71079,0.75337,0.77367,0.55644,1.0381,1.13874,1.19507,0.000580174,0.000580174,0.000580174
26,93.224,0.85083,0.79343,1.08761,0.81753,0.72984,0.79959,0.59533,0.98499,1.14656,1.1487,0.000544806,0.000544806,0.000544806
27,96.5184,0.79378,0.75205,1.07032,0.82123,0.65264,0.77086,0.57338,0.98288,1.24427,1.15239,0.000509438,0.000509438,0.000509438
28,99.7048,0.79161,0.74691,1.05487,0.84675,0.70539,0.77942,0.58636,0.98883,1.14756,1.15121,0.000474071,0.000474071,0.000474071
29,103.553,0.78602,0.72722,1.06188,0.73887,0.77931,0.78867,0.58549,0.98924,1.08154,1.16055,0.000438703,0.000438703,0.000438703
30,108.535,0.79232,0.75581,1.0598,0.81552,0.74894,0.77805,0.56592,0.98245,1.0422,1.14675,0.000403335,0.000403335,0.000403335
31,113.062,0.76941,0.73191,1.04359,0.78334,0.65273,0.71319,0.52455,1.05424,1.43043,1.20075,0.000367967,0.000367967,0.000367967
32,116.366,0.73342,0.66178,1.0146,0.77481,0.77532,0.7892,0.58753,0.96764,1.07147,1.14817,0.0003326,0.0003326,0.0003326
33,119.139,0.69809,0.62052,0.99492,0.78659,0.7573,0.77923,0.58315,1.02155,1.18144,1.1927,0.000297232,0.000297232,0.000297232
34,122.258,0.68115,0.61038,0.99366,0.84224,0.73484,0.81107,0.61181,0.97224,1.05769,1.15011,0.000261864,0.000261864,0.000261864
35,125.635,0.68924,0.57808,0.99866,0.84151,0.74169,0.79633,0.58954,1.00255,1.06088,1.18496,0.000226497,0.000226497,0.000226497
36,128.995,0.65946,0.56354,0.97363,0.82619,0.76157,0.81201,0.61349,0.96408,1.02391,1.13161,0.000191129,0.000191129,0.000191129
37,132.246,0.63352,0.5352,0.9614,0.81681,0.75542,0.81811,0.61253,0.97355,1.02436,1.12217,0.000155761,0.000155761,0.000155761
38,135.402,0.63252,0.52543,0.96753,0.81072,0.78304,0.81457,0.62336,0.94507,1.02654,1.11779,0.000120393,0.000120393,0.000120393
39,138.736,0.62809,0.52848,0.95519,0.80729,0.75308,0.8056,0.61201,0.95446,1.05334,1.12719,8.50255e-05,8.50255e-05,8.50255e-05
