epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8378,1.8653,4.1852,1.92832,0.33429,0.10494,0.00082,0.00018,3.59266,500.677,87.1317,0.0031746,0.0031746,0.0714286
2,19.0193,2.36619,3.37579,2.33273,0,0,0,0,nan,nan,nan,0.00644351,0.00644351,0.0413641
3,21.4389,2.33362,3.19831,2.32543,0,0,0,0,nan,nan,nan,0.00964641,0.00964641,0.0112337
4,23.88,2.27322,3.20198,2.30894,0,0,0,0,nan,nan,nan,0.009703,0.009703,0.009703
5,26.193,2.11777,3.02273,2.22589,0.00068,0.11343,0.00025,6e-05,nan,nan,nan,0.009604,0.009604,0.009604
6,28.4664,2.03132,2.81596,2.16883,0.01645,0.20223,0.00367,0.00078,3.04793,231.295,6.89123,0.009505,0.009505,0.009505
7,30.9461,2.08985,2.86938,2.15285,0.01306,0.06004,0.00106,0.00053,nan,nan,nan,0.009406,0.009406,0.009406
8,33.4748,1.96477,2.83083,2.10692,0.01776,0.37212,0.00987,0.00317,2.65762,91.0591,3.96293,0.009307,0.009307,0.009307
9,35.8104,1.94666,2.69027,2.0722,0.00675,0.3414,0.00515,0.00117,2.88374,678.738,4.83047,0.009208,0.009208,0.009208
10,38.029,1.92011,2.58126,2.02213,0.07028,0.34477,0.07501,0.02036,2.16161,42.4096,2.45948,0.009109,0.009109,0.009109
11,40.0641,1.88861,2.49707,1.97687,0.15421,0.54765,0.21902,0.0828,1.97647,31.9753,2.38028,0.00901,0.00901,0.00901
12,42.2688,1.85581,2.46209,1.97857,0.21082,0.42466,0.1101,0.04323,1.98559,27.1372,2.28011,0.008911,0.008911,0.008911
13,44.5115,1.80043,2.33169,1.92388,0.27615,0.35767,0.26254,0.12607,1.82104,5.41151,2.04372,0.008812,0.008812,0.008812
14,47.0217,1.80604,2.28236,1.96257,0.1323,0.37198,0.13832,0.05874,2.03286,9.18725,2.29153,0.008713,0.008713,0.008713
15,49.4787,1.77545,2.27674,1.93085,0.37642,0.31488,0.28325,0.1431,1.80776,4.10963,2.07831,0.008614,0.008614,0.008614
16,51.901,1.72176,2.25279,1.90008,0.22258,0.42454,0.22537,0.12039,1.76663,5.5913,1.99913,0.008515,0.008515,0.008515
17,54.2813,1.71867,2.3018,1.88622,0.57608,0.25594,0.26881,0.13339,1.81572,4.71535,2.04315,0.008416,0.008416,0.008416
18,56.7392,1.7219,2.30033,1.87104,0.34513,0.41536,0.32843,0.16949,1.79696,2.76976,2.02489,0.008317,0.008317,0.008317
19,59.1949,1.67231,2.18333,1.82896,0.5638,0.33621,0.32856,0.15334,1.92016,3.3902,2.10739,0.008218,0.008218,0.008218
20,61.7096,1.67242,2.09971,1.79481,0.49479,0.41681,0.39143,0.18712,1.87869,3.47599,1.99522,0.008119,0.008119,0.008119
21,64.212,1.69423,2.19519,1.82667,0.35677,0.45847,0.36905,0.20319,1.64562,5.14124,1.8495,0.00802,0.00802,0.00802
22,66.5,1.68078,2.16796,1.83247,0.41003,0.30043,0.27437,0.14247,1.67829,2.78754,1.82172,0.007921,0.007921,0.007921
23,68.5506,1.64392,2.12551,1.80641,0.2881,0.47678,0.27989,0.14317,1.67369,3.64374,1.85774,0.007822,0.007822,0.007822
24,70.9502,1.63833,1.99004,1.75969,0.5623,0.39446,0.45202,0.24071,1.60446,2.30854,1.78638,0.007723,0.007723,0.007723
25,73.4788,1.61682,2.08537,1.76913,0.46016,0.41944,0.40092,0.21507,1.68274,2.33903,1.86463,0.007624,0.007624,0.007624
26,75.8635,1.66117,2.02823,1.78894,0.47357,0.49081,0.44465,0.23531,1.61256,2.40778,1.81451,0.007525,0.007525,0.007525
27,78.3217,1.59802,1.94217,1.72973,0.4817,0.5322,0.48926,0.2708,1.54348,2.23865,1.75761,0.007426,0.007426,0.007426
28,80.7002,1.58581,1.95532,1.6969,0.66791,0.50373,0.5568,0.29827,1.5849,2.05463,1.79794,0.007327,0.007327,0.007327
29,83.0924,1.59056,1.93657,1.72589,0.56762,0.44228,0.4754,0.27568,1.63278,2.19462,1.91306,0.007228,0.007228,0.007228
30,85.5025,1.53648,1.8092,1.69906,0.5012,0.40741,0.43683,0.26726,1.54632,2.40338,1.80168,0.007129,0.007129,0.007129
31,87.9845,1.5713,1.85306,1.70467,0.52625,0.45145,0.47862,0.27235,1.62634,2.20969,1.84184,0.00703,0.00703,0.00703
32,90.3417,1.54796,1.83072,1.68959,0.40739,0.52369,0.42098,0.23047,1.64695,2.18244,1.87284,0.006931,0.006931,0.006931
33,92.7554,1.54129,1.90224,1.71876,0.50659,0.50863,0.50023,0.31079,1.49321,2.12462,1.70339,0.006832,0.006832,0.006832
34,95.0534,1.49545,1.80305,1.67076,0.56206,0.43417,0.50636,0.29434,1.48447,2.21988,1.70804,0.006733,0.006733,0.006733
35,97.3287,1.49647,1.82389,1.64721,0.48464,0.54439,0.48566,0.27529,1.53981,1.96608,1.73996,0.006634,0.006634,0.006634
36,99.6423,1.46641,1.83107,1.63888,0.59377,0.46022,0.48285,0.29142,1.51062,2.02767,1.73275,0.006535,0.006535,0.006535
37,101.856,1.50413,1.81733,1.64724,0.61852,0.42245,0.50426,0.29834,1.53518,2.18169,1.75437,0.006436,0.006436,0.006436
38,104.303,1.46507,1.74535,1.66073,0.54824,0.51789,0.52297,0.30528,1.55851,1.89506,1.74919,0.006337,0.006337,0.006337
39,106.808,1.50351,1.77491,1.62298,0.47461,0.47047,0.42559,0.23496,1.55907,2.14973,1.7515,0.006238,0.006238,0.006238
40,109.257,1.44854,1.73542,1.63322,0.46061,0.45732,0.44527,0.25201,1.53211,2.18982,1.74055,0.006139,0.006139,0.006139
41,111.628,1.51393,1.73742,1.66625,0.5388,0.55696,0.54612,0.34272,1.49133,1.80102,1.74937,0.00604,0.00604,0.00604
42,114.036,1.41087,1.65748,1.60218,0.5758,0.52911,0.56363,0.35169,1.54611,1.80005,1.73066,0.005941,0.005941,0.005941
43,116.51,1.46861,1.72068,1.61152,0.59934,0.43794,0.50216,0.30192,1.50667,2.00519,1.72724,0.005842,0.005842,0.005842
44,118.99,1.49128,1.68303,1.6133,0.58662,0.35515,0.40215,0.23694,1.55935,2.56734,1.77986,0.005743,0.005743,0.005743
45,121.511,1.44104,1.60974,1.58333,0.67248,0.37738,0.48995,0.28409,1.56563,2.02802,1.75296,0.005644,0.005644,0.005644
46,123.89,1.4303,1.62496,1.57355,0.67402,0.44284,0.51383,0.32519,1.52892,1.83343,1.75476,0.005545,0.005545,0.005545
47,126.287,1.36287,1.57095,1.55459,0.57398,0.54589,0.55345,0.33518,1.42591,1.83362,1.62776,0.005446,0.005446,0.005446
48,128.722,1.33065,1.56707,1.50313,0.71086,0.48842,0.55495,0.34722,1.40223,1.97082,1.63068,0.005347,0.005347,0.005347
49,131.08,1.36749,1.58187,1.53991,0.70892,0.43074,0.49456,0.29684,1.4985,2.1162,1.67395,0.005248,0.005248,0.005248
50,133.543,1.41205,1.58899,1.5656,0.58548,0.4866,0.53948,0.34012,1.46767,1.9536,1.66323,0.005149,0.005149,0.005149
51,135.982,1.38943,1.58696,1.54919,0.6174,0.59308,0.58366,0.36839,1.39593,1.81814,1.57744,0.00505,0.00505,0.00505
52,138.392,1.2943,1.47551,1.46187,0.59389,0.63763,0.57316,0.36576,1.37154,1.79801,1.56261,0.004951,0.004951,0.004951
53,140.765,1.37822,1.51566,1.52669,0.64357,0.50482,0.54799,0.34606,1.3603,1.81542,1.55685,0.004852,0.004852,0.004852
54,143.172,1.33427,1.50885,1.49515,0.70017,0.50555,0.59468,0.37694,1.37633,1.826,1.54415,0.004753,0.004753,0.004753
55,145.647,1.283,1.43727,1.47636,0.58188,0.61917,0.61665,0.41106,1.28108,1.66585,1.48404,0.004654,0.004654,0.004654
56,148.146,1.31036,1.43349,1.48114,0.65351,0.58136,0.63372,0.40575,1.34273,1.66177,1.5508,0.004555,0.004555,0.004555
