epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4835,1.89318,4.09453,1.87543,0.00216,0.1666,0.00128,0.00034,nan,nan,nan,0.00318841,0.00318841,0.0713043
2,18.2371,2.27496,3.23974,2.27556,0,0,0,0,nan,nan,nan,0.00645717,0.00645717,0.0412398
3,20.3824,2.24859,3.16904,2.30106,0,0,0,0,nan,nan,nan,0.00965994,0.00965994,0.0111092
4,23.2286,2.26908,3.15797,2.28057,4e-05,0.01389,0,0,nan,nan,nan,0.009703,0.009703,0.009703
5,25.924,2.1136,2.90812,2.12668,0.00501,0.24383,0.00308,0.00114,3.22666,833.882,8.92985,0.009604,0.009604,0.009604
6,28.5903,2.06109,2.74867,2.12282,0.33668,0.37654,0.0039,0.00107,2.89082,795.651,4.95276,0.009505,0.009505,0.009505
7,31.2481,1.95652,2.78712,2.08272,0.03999,0.5604,0.03023,0.01176,2.40396,287.897,3.19042,0.009406,0.009406,0.009406
8,34.0002,1.9472,2.70959,2.01094,0.04704,0.36686,0.05684,0.02569,2.23707,86.7975,4.11803,0.009307,0.009307,0.009307
9,36.6322,1.88038,2.58951,1.96841,0.05665,0.4302,0.03697,0.01316,2.38232,75.5775,5.2233,0.009208,0.009208,0.009208
10,39.189,1.86261,2.44504,1.95727,0.20934,0.36518,0.20509,0.09147,1.97008,18.7925,2.95644,0.009109,0.009109,0.009109
11,41.7322,1.80332,2.42121,1.9222,0.23412,0.36567,0.21704,0.09043,2.06358,12.1765,2.36872,0.00901,0.00901,0.00901
12,44.3538,1.80734,2.39971,1.87431,0.26069,0.51945,0.33453,0.16717,1.76911,10.1348,1.98977,0.008911,0.008911,0.008911
13,46.9827,1.74397,2.25437,1.84029,0.38035,0.39485,0.26959,0.13063,1.76851,6.748,2.08233,0.008812,0.008812,0.008812
14,49.6151,1.7079,2.24477,1.81678,0.48497,0.29825,0.18089,0.09247,1.87245,8.11016,2.96692,0.008713,0.008713,0.008713
15,52.2671,1.72651,2.28416,1.85671,0.26377,0.36153,0.22447,0.12407,1.86824,9.86521,2.30167,0.008614,0.008614,0.008614
16,54.9154,1.66216,2.15602,1.78639,0.50513,0.3313,0.32899,0.1825,1.76179,3.90489,2.199,0.008515,0.008515,0.008515
17,57.5301,1.64275,2.11097,1.73865,0.45161,0.51087,0.43648,0.219,1.61977,3.32507,1.77265,0.008416,0.008416,0.008416
18,60.1288,1.612,2.01434,1.69624,0.43994,0.39796,0.35335,0.20595,1.6759,2.97773,1.80112,0.008317,0.008317,0.008317
19,62.7116,1.69595,2.13488,1.77822,0.59263,0.36686,0.43418,0.25194,1.63861,2.31529,1.76167,0.008218,0.008218,0.008218
20,65.3895,1.65478,2.08998,1.76582,0.58085,0.41996,0.48384,0.26045,1.64017,2.27458,1.7399,0.008119,0.008119,0.008119
21,67.963,1.63074,2.02818,1.74106,0.52876,0.42424,0.43099,0.23762,1.71774,2.15023,1.9116,0.00802,0.00802,0.00802
22,70.6033,1.56973,1.98006,1.70617,0.47184,0.51284,0.49942,0.28711,1.56671,2.12185,1.73172,0.007921,0.007921,0.007921
23,73.0607,1.55487,1.91007,1.64351,0.5091,0.36169,0.3763,0.22427,1.59204,2.6027,1.74516,0.007822,0.007822,0.007822
24,75.6854,1.61331,1.98959,1.69078,0.77197,0.38183,0.47948,0.24235,1.7417,2.13329,1.80181,0.007723,0.007723,0.007723
25,78.367,1.58931,1.94063,1.70816,0.44522,0.53584,0.46398,0.26793,1.48871,2.372,1.65831,0.007624,0.007624,0.007624
26,81.0132,1.57595,1.93253,1.69354,0.57114,0.45785,0.47328,0.27124,1.5657,2.32392,1.7527,0.007525,0.007525,0.007525
27,83.5712,1.5263,1.82325,1.64977,0.55881,0.5168,0.49459,0.29832,1.47933,2.28005,1.66251,0.007426,0.007426,0.007426
28,86.202,1.54286,1.84538,1.67924,0.44158,0.52634,0.48531,0.29908,1.47762,2.31435,1.63856,0.007327,0.007327,0.007327
29,88.8488,1.49572,1.81994,1.62358,0.58162,0.41814,0.46509,0.28779,1.52084,2.2097,1.71089,0.007228,0.007228,0.007228
30,91.5217,1.4872,1.74534,1.61963,0.58481,0.53542,0.55087,0.33329,1.482,1.86714,1.65154,0.007129,0.007129,0.007129
31,94.148,1.44818,1.72724,1.57744,0.67497,0.52122,0.57048,0.36303,1.42861,1.87484,1.64226,0.00703,0.00703,0.00703
32,96.7917,1.43362,1.71712,1.55752,0.48047,0.55157,0.52886,0.34056,1.47569,1.90866,1.66669,0.006931,0.006931,0.006931
33,99.3554,1.46126,1.73573,1.58104,0.63409,0.49578,0.54889,0.3458,1.48065,1.95972,1.61296,0.006832,0.006832,0.006832
34,101.967,1.39768,1.64563,1.52348,0.59198,0.50481,0.55082,0.34787,1.40161,2.18665,1.5538,0.006733,0.006733,0.006733
35,104.548,1.45253,1.68092,1.58466,0.37407,0.5289,0.32607,0.17022,1.50821,3.50186,1.67394,0.006634,0.006634,0.006634
36,107.193,1.40408,1.68014,1.55229,0.55418,0.56571,0.52868,0.31759,1.42213,2.28806,1.59783,0.006535,0.006535,0.006535
37,109.889,1.416,1.68013,1.54764,0.56919,0.58046,0.54014,0.35601,1.40198,1.88816,1.67656,0.006436,0.006436,0.006436
38,112.497,1.39089,1.60125,1.51603,0.72884,0.53963,0.61925,0.3909,1.48711,1.79426,1.63201,0.006337,0.006337,0.006337
39,115.065,1.38233,1.60678,1.53301,0.59848,0.54286,0.57336,0.37275,1.45869,1.91958,1.60699,0.006238,0.006238,0.006238
40,117.749,1.41017,1.62728,1.55364,0.62586,0.53471,0.5855,0.36441,1.45801,1.82495,1.63998,0.006139,0.006139,0.006139
41,120.262,1.35481,1.60145,1.48573,0.56745,0.48281,0.5175,0.34033,1.40133,1.94208,1.58928,0.00604,0.00604,0.00604
42,122.834,1.34801,1.56405,1.46584,0.46833,0.4999,0.49286,0.30659,1.47272,2.085,1.67173,0.005941,0.005941,0.005941
43,125.501,1.32912,1.59883,1.49169,0.57535,0.52209,0.5541,0.3498,1.41111,2.17467,1.61287,0.005842,0.005842,0.005842
44,128.083,1.408,1.57653,1.52572,0.63444,0.55472,0.58894,0.36246,1.41672,1.74846,1.58374,0.005743,0.005743,0.005743
